"drop_code","product_name","product_slug","price_eur","qty_m","qty_l","qty_xl","units_total","revenue_total"
"A33 X NO ART","CALAVERA","calavera","35","5","5","","10","350"
"DROP 1","AIRLINE","airline","30","6","0","","6","180"
"DROP 1","CARA","cara","55","5","0","","5","275"
"DROP 1","MADRID","madrid","30","6","0","","6","180"
"DROP 1","MIRILLA","mirilla","55","7","2","","9","495"
"DROP 2","CALAVERA","calavera","29","2","2","","4","116"
"DROP 2","MIRILLA","mirilla","34","2","4","","6","204"
"DROP 2","OJOS","ojos","49","4","6","","10","490"
"DROP 2","SEÑORA","se-ora","29","2","3","","5","145"
"DROP 3","FUTBOL","futbol","33","7","7","","14","462"
"DROP 3","REVOLUTION 33","revolution-33","69","4","4","","8","552"
"DROP 4","BLACK","black","44","8","2","","10","440"
"DROP 4","CHOCOLATE","chocolate","44","1","4","","5","220"
"DROP 4","OLIVE","olive","34","4","20","","24","816"
"DROP 5","BRAILE","braile","33","5","14","","19","627"
"DROP 5","GRAFITTI","grafitti","33","5","13","","18","594"
"SUMMER DROP","MANOS","manos","19","6","7","","13","247"
"SUMMER DROP","RUSA","rusa","19","7","6","","13","247"
