"drop_code","slug","name","category","status","retail_price","brand_season","notes"
"A33 X NO ART","calavera","CALAVERA","unknown","archived","35","","Borrador generado desde hojas de drops"
"DROP 1","airline","AIRLINE","unknown","archived","30","","Borrador generado desde hojas de drops"
"DROP 1","cara","CARA","unknown","archived","55","","Borrador generado desde hojas de drops"
"DROP 1","madrid","MADRID","unknown","archived","30","","Borrador generado desde hojas de drops"
"DROP 1","mirilla","MIRILLA","unknown","archived","55","","Borrador generado desde hojas de drops"
"DROP 2","calavera","CALAVERA","unknown","archived","29","","Borrador generado desde hojas de drops"
"DROP 2","mirilla","MIRILLA","unknown","archived","34","","Borrador generado desde hojas de drops"
"DROP 2","ojos","OJOS","unknown","archived","49","","Borrador generado desde hojas de drops"
"DROP 2","se-ora","SEÑORA","unknown","archived","29","","Borrador generado desde hojas de drops"
"DROP 3","futbol","FUTBOL","unknown","archived","33","","Borrador generado desde hojas de drops"
"DROP 3","revolution-33","REVOLUTION 33","unknown","archived","69","","Borrador generado desde hojas de drops"
"DROP 4","black","BLACK","unknown","archived","44","","Borrador generado desde hojas de drops"
"DROP 4","chocolate","CHOCOLATE","unknown","archived","44","","Borrador generado desde hojas de drops"
"DROP 4","olive","OLIVE","unknown","archived","34","","Borrador generado desde hojas de drops"
"DROP 5","braile","BRAILE","unknown","archived","33","","Borrador generado desde hojas de drops"
"DROP 5","grafitti","GRAFITTI","unknown","archived","33","","Borrador generado desde hojas de drops"
"SUMMER DROP","manos","MANOS","unknown","archived","19","","Borrador generado desde hojas de drops"
"SUMMER DROP","rusa","RUSA","unknown","archived","19","","Borrador generado desde hojas de drops"
