"col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16","col_17","col_18","col_19","col_20","col_21","col_22","col_23","col_24","col_25","col_26","col_27","col_28","col_29","col_30","col_31","col_32","col_33","col_34","col_35"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DROP 1","","","","","","","","","","","","","","","","","BLANKS 1","System.Xml.XmlElement","M","L","XL","UNIDADES","EXTRA","System.Xml.XmlElement","TOTAL","","INGRESOS FINALES","PRECIO","M","L","XL","UNIDADES","TOTAL"
"","","","","","","","","","","","","","","","","","","Blanco","16.989999999999998","7","9","2","18","0","16.989999999999998","305.82","","Blanco","35","6","8","2","16","560"
"","","","","","","","","","","","","","","","","","","Negro","17.989999999999998","6","8","1","15","0","17.989999999999998","269.84999999999997","","Negro","35","5","7","1","13","455"
"","","PPTO","REAL","","","","","","","","","","","","","","","","","","","","0","0","0","0","","0","0","0","0","0","0","0"
"","INGRESOS","1015","0","","","","","","","","","","","","","","","","","","","","0","0","0","0","","0","0","0","0","0","0","0"
"","Otros ingresos","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","0","0","0","0","0"
"","TOTAL INGRESOS","1015","0","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","0","0","0","0","0"
"","Gasto Blanks 1","-575.66999999999996","-575.66999999999996","","","","","","","","","","","","","","","TOTAL","","","","","33","","","575.66999999999996","","INGRESOS TOTALES FINALES","","","","","29","1015"
"","Gasto Serigrafia","-174.24","-174.24","","","","","","","","","","","","","","","Envio","","","","","","","","","","","","","","","",""
"","Otros gastos","-74.2547","-31.152000000000001","","","","","","","","","","","","","","","Otros gastos","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","TOTAL EXTRAS","","","","","","","","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","BLANKS TOTAL","","","","","","","","575.66999999999996","","","","","","","",""
"","TOTAL GASTOS","-824.16469999999993","-781.06200000000001","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","BLANKS 2","System.Xml.XmlElement","M","L","XL","UNIDADES","EXTRA","System.Xml.XmlElement","TOTAL","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","",""
"","BENEFICIO","190.83530000000007","-781.06200000000001","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","",""
"","RATIO DE BLANKS","0.56716256157635458","-","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","",""
"","RATIO DE SERIGRAFIA","0.17166502463054187","-","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","",""
"","RATIO DE OTROS GASTOS","7.3157339901477839E-2","-","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","",""
"","COR%","0.81198492610837436","-","","","","","","","","","","","","","","","TOTAL","","","","","0","","","0","","","","","","","",""
"","","0","#VALUE!","","","","","","","","","","","","","","","Envio","","","","","","","","","","","","","","","",""
