"col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16","col_17","col_18","col_19","col_20","col_21","col_22","col_23","col_24","col_25","col_26","col_27","col_28","col_29","col_30","col_31","col_32","col_33","col_34","col_35","col_36","col_37","col_38","col_39","col_40","col_41","col_42","col_43","col_44","col_45","col_46"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","A33","","DROP 1","","","","DROP 2","","","","SUMMER DROP","","","","A33 X NO ART","","","","DROP 3","","","","DROP 4","","","","DROP 5","","","","","","","","","","","",""
"","","","","","","DROP 1","1039.4099999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44338.993125000001","A33: 1 SUDAPA GRIS D1 (PETER)","55","","DROP 2","297.9199999999999","","44338.993125000001","A33: 1 SUDAPA GRIS D1 (PETER)","55","","44467.676689814813","COMPRA RUE PORTER","-780.23","","44690.781192129631","COMPRA WORDANS PRUEBA","-9.84","","44819.082650462966","COMPRA RUE PORTER","-405.11","","44620.859791666669","COMPRA RUE PORTER","-433.02","","44872.176192129627","COMPRA PRUEBA STUDIOS TC","-89.68","","45260","COMPRA STUDIOS TC","-713.58","","","","","","","","","",""
"TOPUP","Current","44341.712256944447","A33: 1 CAMI MADRID D1 (LUISAN)","30","","SUMMER DROP","282.83","","44341.712256944447","A33: 1 CAMI MADRID D1 (LUISAN)","30","","44467.682719907411","COMPRA RUE PORTER","-107.2","","44699.839594907404","COMPRA WORDANS","-108.16","","44842.781504629631","TASAS RUE PORTER","-173.3","","44630.827685185184","COMPRA MOOJI MOOJI","-423.53","","44887.168854166666","DEVOLUCION A STUDIOS TC","-17.64","","45323","SERIGRAFIA","-228.69","","","","","","","","","",""
"TOPUP","Current","44392.81621527778","A33: 1 SUDAPA Y 1 CAMI (JAIME BUST)","80","","A33 X NO ART","39.219999999999914","","44392.81621527778","A33: 1 SUDAPA Y 1 CAMI (JAIME BUST)","80","","44471.08625","COMPRA DORTEX","-49.01","","44706.835740740738","SERIGRAFIA","-93.17","","44868.08452546296","A33: 1 BALACLAVA L Y SKULL L (PETER)","70","","44658.210960648146","TASAS MOOJI MOOJI (PAGADO POR MAMA)","-109.14","","44898.375","REEMBOLSO DE STUDIOS TC","89.68","","45372","A33: GRAF L Y BRAILE L (DOMINGUEZ)","66","","","","","","","","","",""
"TOPUP","Current","44399.158032407409","A33: CAMI VERDE Y BLANCA Y SUDAPA (JAIME$) Y SUDAPA (LUISAN)","170","","DROP 3","-315.55999999999995","","44399.158032407409","A33: CAMI VERDE Y BLANCA Y SUDAPA (JAIME$) Y SUDAPA (LUISAN)","170","","44477.030138888891","AÑADE DINERO PARA SERIGRAFIA","178.87","","44718.755046296297","A33: 3 SAND XL (JUANMA, MUÑOZ Y PETER) 1 RUSA XL (PETER)","38","","44868.092314814814","A33: 1 BALACLAVA L (JP)","35.340000000000003","","44688.992303240739","DEVOLUCION RUE PORTER","455.17","","45034.161134259259","COMPRA WEEKDAY","-108","","","","0","","","","","","","","","",""
"TOPUP","Current","44400.061192129629","A33: SUDAPA (QUINTANA)","55","","DROP 4","-170.55000000000007","","44400.061192129629","A33: SUDAPA (QUINTANA)","55","","44477.035613425927","SERIGRAFIA","-246.24","","44718.990011574075","A33: 1 RUSA XL (PETER)","38","","44868.735474537039","A33: 2 BALACLAVA M (PUPI, LUIS CAN) SKULL XL (SESE)","105","","44848.096886574072","SERIGRAFIA","-29.04","","45034.738379629627","A33: CREW N L (CASAPE), CAMI XL (JAIME RAMIEZ)","78","","","","0","","","","","","","","","",""
"TOPUP","Current","44403.833599537036","A33: SUDAPA GRIS (GENO)","40.409999999999997","","","1173.2699999999995","","44403.833599537036","A33: SUDAPA GRIS (GENO)","40.409999999999997","","44502.812013888892","APPLE PAY","40","","44726.266215277778","A33: 1 SAND L y 1 RUSA L (Nico)","38","","44870.278263888889","A33: 2 BALACLAVA L (Muñoz)","35","","44848.889548611114","System.Xml.XmlElement","-387","","45035.636689814812","COMPRA VELOUR GARMETS","-634.99","","","","0","","","","","","","","","",""
"TOPUP","Current","44410.081365740742","A33: 3 SUDAPAS 1 CAMI BLANCA (MUÑOZ) Y SUDAPA GRIS (AMIGA GENO)","272","","","","","44410.081365740742","A33: 3 SUDAPAS 1 CAMI BLANCA (MUÑOZ) Y SUDAPA GRIS (AMIGA GENO)","272","","44503.724421296298","COMPRA PEGATINAS","-26.33","","44728.931979166664","A33: 1 RUSA XL (ASTARLOA)","19","","44871.174166666664","A33: 1 BALACLAVA M  (Dominguez), 2 SKULL ML (N.Per y N.Ben)","105","","44863.065266203703","A33: MOOJI L (CARMEN)","69","","45035.702476851853","COMPRA STUDIOS TC","-357.25","","","","0","","","","","","","","","",""
"TOPUP","Current","44454.166261574072","A33: 1 SUDAPA, 3 CAMIS BLANCAS, 3 CAMIS VERDES (AMIGOS JACO)","255","","","","","44454.166261574072","A33: 1 SUDAPA, 3 CAMIS BLANCAS, 3 CAMIS VERDES (AMIGOS JACO)","255","","44514.178935185184","A33: CAMI TIRO L Y CAMI PIVA L (DOMINGEZ)","63","","44729.223356481481","A33: 1 MANOS XL (RUBINI)","19","","44871.174571759257","A33: 1 BALACLAVA L (C.Chorvo), 2 SKULL ML (C.chorv y cuervo)","105","","44868.08452546296","A33: FUTBOL XL (PETER)","36","","45043.268657407411","A33: CREW N M, CAMI L (PETER)","78","","","","0","","","","","","","","","",""
