"drop_code","product_slug","sku_code","size","color","retail_price","cost_basis","status","notes"
"A33 X NO ART","calavera","A33XNOART-CALAVERA-L","L","","35","","archived","Cantidad historica detectada en A33.xlsx: 5"
"A33 X NO ART","calavera","A33XNOART-CALAVERA-M","M","","35","","archived","Cantidad historica detectada en A33.xlsx: 5"
"DROP 1","airline","DROP1-AIRLINE-M","M","","30","","archived","Cantidad historica detectada en A33.xlsx: 6"
"DROP 1","cara","DROP1-CARA-M","M","","55","","archived","Cantidad historica detectada en A33.xlsx: 5"
"DROP 1","madrid","DROP1-MADRID-M","M","","30","","archived","Cantidad historica detectada en A33.xlsx: 6"
"DROP 1","mirilla","DROP1-MIRILLA-L","L","","55","","archived","Cantidad historica detectada en A33.xlsx: 2"
"DROP 1","mirilla","DROP1-MIRILLA-M","M","","55","","archived","Cantidad historica detectada en A33.xlsx: 7"
"DROP 2","calavera","DROP2-CALAVERA-L","L","","29","","archived","Cantidad historica detectada en A33.xlsx: 2"
"DROP 2","calavera","DROP2-CALAVERA-M","M","","29","","archived","Cantidad historica detectada en A33.xlsx: 2"
"DROP 2","mirilla","DROP2-MIRILLA-L","L","","34","","archived","Cantidad historica detectada en A33.xlsx: 4"
"DROP 2","mirilla","DROP2-MIRILLA-M","M","","34","","archived","Cantidad historica detectada en A33.xlsx: 2"
"DROP 2","ojos","DROP2-OJOS-L","L","","49","","archived","Cantidad historica detectada en A33.xlsx: 6"
"DROP 2","ojos","DROP2-OJOS-M","M","","49","","archived","Cantidad historica detectada en A33.xlsx: 4"
"DROP 2","se-ora","DROP2-SEORA-L","L","","29","","archived","Cantidad historica detectada en A33.xlsx: 3"
"DROP 2","se-ora","DROP2-SEORA-M","M","","29","","archived","Cantidad historica detectada en A33.xlsx: 2"
"DROP 3","futbol","DROP3-FUTBOL-L","L","","33","","archived","Cantidad historica detectada en A33.xlsx: 7"
"DROP 3","futbol","DROP3-FUTBOL-M","M","","33","","archived","Cantidad historica detectada en A33.xlsx: 7"
"DROP 3","revolution-33","DROP3-REVOLUTION33-L","L","","69","","archived","Cantidad historica detectada en A33.xlsx: 4"
"DROP 3","revolution-33","DROP3-REVOLUTION33-M","M","","69","","archived","Cantidad historica detectada en A33.xlsx: 4"
"DROP 4","black","DROP4-BLACK-L","L","","44","","archived","Cantidad historica detectada en A33.xlsx: 2"
"DROP 4","black","DROP4-BLACK-M","M","","44","","archived","Cantidad historica detectada en A33.xlsx: 8"
"DROP 4","chocolate","DROP4-CHOCOLATE-L","L","","44","","archived","Cantidad historica detectada en A33.xlsx: 4"
"DROP 4","chocolate","DROP4-CHOCOLATE-M","M","","44","","archived","Cantidad historica detectada en A33.xlsx: 1"
"DROP 4","olive","DROP4-OLIVE-L","L","","34","","archived","Cantidad historica detectada en A33.xlsx: 20"
"DROP 4","olive","DROP4-OLIVE-M","M","","34","","archived","Cantidad historica detectada en A33.xlsx: 4"
"DROP 5","braile","DROP5-BRAILE-L","L","","33","","archived","Cantidad historica detectada en A33.xlsx: 14"
"DROP 5","braile","DROP5-BRAILE-M","M","","33","","archived","Cantidad historica detectada en A33.xlsx: 5"
"DROP 5","grafitti","DROP5-GRAFITTI-L","L","","33","","archived","Cantidad historica detectada en A33.xlsx: 13"
"DROP 5","grafitti","DROP5-GRAFITTI-M","M","","33","","archived","Cantidad historica detectada en A33.xlsx: 5"
"SUMMER DROP","manos","SUMMERDROP-MANOS-L","L","","19","","archived","Cantidad historica detectada en A33.xlsx: 7"
"SUMMER DROP","manos","SUMMERDROP-MANOS-M","M","","19","","archived","Cantidad historica detectada en A33.xlsx: 6"
"SUMMER DROP","rusa","SUMMERDROP-RUSA-L","L","","19","","archived","Cantidad historica detectada en A33.xlsx: 6"
"SUMMER DROP","rusa","SUMMERDROP-RUSA-M","M","","19","","archived","Cantidad historica detectada en A33.xlsx: 7"
